#{"t_start": 1724151161.8511932, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
-270.96957,500,1005.288847,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2351.1694,500,1005.288876,pursuer_0_0.4455029089858855,pursuer_0_1.2196722859303164,pursuer_0_0
1570.9725,500,1005.288909,pursuer_1_0.5270779231408883,pursuer_1_1.307758947869931,pursuer_1_0
2695.461,500,1005.288938,pursuer_0_0.40266331676631584,pursuer_0_1.137330379682861,pursuer_0_0
2342.4292,500,1005.288966,pursuer_1_0.42722652804523664,pursuer_1_1.0537852507066923,pursuer_1_0
1871.8655,500,1005.288995,pursuer_0_0.5017975065048047,pursuer_0_1.1875325850326912,pursuer_0_0
1984.9292,500,1005.289023,pursuer_1_0.48326818019069817,pursuer_1_1.4980216428660966,pursuer_1_0
2552.9905,500,1111.881317,pursuer_0_0.41951207282401387,pursuer_0_1.3695819935539952,pursuer_0_0
2411.3235,500,1111.882204,pursuer_1_0.42461204117559687,pursuer_1_1.0449613760158178,pursuer_1_0
1146.5658,500,1111.882296,pursuer_0_0.5900434728694584,pursuer_0_1.3714547361863827,pursuer_0_0
2504.944,500,1111.882355,pursuer_1_0.41123590631672485,pursuer_1_1.0300277030409786,pursuer_1_0
-150.44565,500,1111.882409,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-243.23631,500,1111.882461,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-151.09285,500,1111.882507,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-242.28531,500,1111.882556,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2609.4426,500,1111.882602,pursuer_0_0.41444041578237484,pursuer_0_1.1180198440459315,pursuer_0_0
2620.7874,500,1111.882653,pursuer_1_0.39919758401652566,pursuer_1_1.3043325667246075,pursuer_1_0
1876.5062,500,1111.882699,pursuer_0_0.49736458002573025,pursuer_0_1.1751207391028058,pursuer_0_0
-227.12315,500,1111.882751,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
466.11526,500,1111.882797,pursuer_0_0.6833772690991218,pursuer_0_1.4311595091594225,pursuer_0_0
2918.062,500,1111.882848,pursuer_1_0.3647513391304933,pursuer_1_1.5,pursuer_1_0
3054.075,500,1111.882894,pursuer_0_0.3622928499966551,pursuer_0_1.4717395600861174,pursuer_0_0
1019.3441,500,1111.882943,pursuer_1_0.5998314314951622,pursuer_1_1.497866225232228,pursuer_1_0
2750.9822,500,1237.737154,pursuer_0_0.39353474834845026,pursuer_0_1.3347452512115743,pursuer_0_0
2988.311,500,1237.737613,pursuer_1_0.35653364390979664,pursuer_1_1.4864084058532465,pursuer_1_0
-170.75928,500,1237.737711,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2477.7966,500,1237.737765,pursuer_1_0.4184235549700875,pursuer_1_1.4246626239304292,pursuer_1_0
2790.888,500,1237.737812,pursuer_0_0.3895380624760415,pursuer_0_1.3104221480633773,pursuer_0_0
2457.0415,500,1237.737857,pursuer_1_0.4173621698696685,pursuer_1_1.2346900135353045,pursuer_1_0
1002.1946,500,1237.737902,pursuer_0_0.6062437583159247,pursuer_0_1.3821524888516923,pursuer_0_0
2578.2324,500,1237.737949,pursuer_1_0.40645103436000474,pursuer_1_1.4100301376950404,pursuer_1_0
1327.9333,500,1237.737992,pursuer_0_0.5653019985626161,pursuer_0_1.2741760323410631,pursuer_0_0
2039.3606,500,1237.738035,pursuer_1_0.46632364698911666,pursuer_1_1.4970660215463012,pursuer_1_0
-140.54097,500,1237.738078,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2070.48,500,1237.738119,pursuer_1_0.4591471097042623,pursuer_1_1.1154103429918083,pursuer_1_0
1818.9498,500,1237.738161,pursuer_0_0.5088365373720873,pursuer_0_1.4585770872516968,pursuer_0_0
2200.6106,500,1237.738204,pursuer_1_0.4474890474218596,pursuer_1_1.089835037529516,pursuer_1_0
-151.128,500,1237.738246,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-235.35864,500,1237.738287,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1758.2919,500,1371.556795,pursuer_0_0.5131215423655943,pursuer_0_1.2018024003506684,pursuer_0_0
2650.4421,500,1371.557209,pursuer_1_0.3950484074325398,pursuer_1_1.4107513552025976,pursuer_1_0
-140.52249,500,1371.557327,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2550.2134,500,1371.557397,pursuer_1_0.404683350864286,pursuer_1_1.2369889054279013,pursuer_1_0
2862.0066,500,1371.557493,pursuer_0_0.385700587255652,pursuer_0_1.4179281272370685,pursuer_0_0
612.31024,500,1371.557544,pursuer_1_0.6423402213618054,pursuer_1_1.369508800429322,pursuer_1_0
-142.38107,500,1371.55759,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2335.6565,500,1371.557701,pursuer_1_0.4303348857568194,pursuer_1_1.3480869384890328,pursuer_1_0
853.4814,500,1371.557773,pursuer_0_0.6332518115466904,pursuer_0_1.358023935974775,pursuer_0_0
2817.829,500,1371.557822,pursuer_1_0.37896445835098,pursuer_1_1.3807806569427095,pursuer_1_0
-119.256096,500,1371.557909,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2522.2532,500,1371.55797,pursuer_1_0.40900365765803237,pursuer_1_1.3068622513645725,pursuer_1_0
2902.2683,500,1371.558013,pursuer_0_0.376963622011146,pursuer_0_1.2950635420249716,pursuer_0_0
2806.5845,500,1371.558051,pursuer_1_0.38193196316650246,pursuer_1_1.2202037763573677,pursuer_1_0
1798.6393,500,1371.558091,pursuer_0_0.509669856248852,pursuer_0_1.191107349714536,pursuer_0_0
919.16156,500,1371.558128,pursuer_1_0.6100572214505972,pursuer_1_1.4428164695459709,pursuer_1_0
2512.109,500,1514.244694,pursuer_0_0.4272717037569335,pursuer_0_1.2133000907035063,pursuer_0_0
2213.4436,500,1514.245649,pursuer_1_0.44713505484623034,pursuer_1_1.3581967304789753,pursuer_1_0
-150.29997,500,1514.245771,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
1725.3776,500,1514.245827,pursuer_1_0.5065267021415483,pursuer_1_1.2164609839984677,pursuer_1_0
2595.5962,500,1514.24587,pursuer_0_0.4107671885123232,pursuer_0_1.2455789386288696,pursuer_0_0
2510.2883,500,1514.245909,pursuer_1_0.4142131927187741,pursuer_1_1.0205545800153744,pursuer_1_0
2486.8645,500,1514.245949,pursuer_0_0.42808092613609,pursuer_0_1.1818094215223953,pursuer_0_0
2622.206,500,1514.245987,pursuer_1_0.40347365742620206,pursuer_1_1.1890162370874247,pursuer_1_0
2338.6333,500,1514.246025,pursuer_0_0.44250189125504696,pursuer_0_1.0853159966054808,pursuer_0_0
1961.6237,500,1514.246061,pursuer_1_0.4857743736794405,pursuer_1_1.4512093314075623,pursuer_1_0
2330.5732,500,1514.246103,pursuer_0_0.44816243655332294,pursuer_0_1.4854921454822911,pursuer_0_0
1564.885,500,1514.246147,pursuer_1_0.5247120252847864,pursuer_1_1.2621678247397714,pursuer_1_0
1801.6598,500,1514.246191,pursuer_0_0.5064115654427486,pursuer_0_1.1917525857440137,pursuer_0_0
-264.77686,500,1514.246231,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1190.9935,500,1514.246269,pursuer_0_0.5812674621195224,pursuer_0_1.296756502656321,pursuer_0_0
2412.3958,500,1514.246306,pursuer_1_0.42286211419527026,pursuer_1_1.0464495701043675,pursuer_1_0
1625.797,500,1659.268343,pursuer_0_0.5342495083809924,pursuer_0_1.2271342709245932,pursuer_0_0
1913.3342,500,1659.268731,pursuer_1_0.4912406963175669,pursuer_1_1.4970161874845584,pursuer_1_0
2200.7869,500,1659.26881,pursuer_0_0.4578874463963926,pursuer_0_1.2053571227801008,pursuer_0_0
1500.9125,500,1659.268859,pursuer_1_0.5294087775971574,pursuer_1_1.2269252327789064,pursuer_1_0
2201.4153,500,1659.268899,pursuer_0_0.46443477852170173,pursuer_0_1.4410466522580772,pursuer_0_0
2180.5408,500,1659.268936,pursuer_1_0.4512016029635538,pursuer_1_1.4601520641505932,pursuer_1_0
-171.32211,500,1659.268974,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2321.945,500,1659.26901,pursuer_1_0.4355445896022426,pursuer_1_1.0687579103667353,pursuer_1_0
1627.418,500,1659.269049,pursuer_0_0.5377063460445259,pursuer_0_1.307498197638914,pursuer_0_0
2683.9094,500,1659.269089,pursuer_1_0.3971814903871207,pursuer_1_1.381135908785248,pursuer_1_0
-168.86157,500,1659.269128,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2196.8416,500,1659.269165,pursuer_1_0.4476694913250408,pursuer_1_1.091749695339029,pursuer_1_0
2724.7954,500,1659.269202,pursuer_0_0.398702501365054,pursuer_0_1.5,pursuer_0_0
-274.33923,500,1659.26924,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-120.659805,500,1659.269278,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2223.0012,500,1659.269317,pursuer_1_0.4447892953061912,pursuer_1_1.0895854697484693,pursuer_1_0
1651.8013,500,1805.169924,pursuer_0_0.5224667653422748,pursuer_0_1.2114678664882423,pursuer_0_0
2495.145,500,1805.170348,pursuer_1_0.4160590022852604,pursuer_1_1.024708793070591,pursuer_1_0
477.87646,500,1805.170433,pursuer_0_0.676603483005053,pursuer_0_1.409945090964219,pursuer_0_0
2132.2832,500,1805.170486,pursuer_1_0.45856794751666086,pursuer_1_1.4245246544176946,pursuer_1_0
1345.784,500,1805.170533,pursuer_0_0.5653582420596597,pursuer_0_1.3158569739088333,pursuer_0_0
-246.30412,500,1805.170577,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-121.26357,500,1805.17062,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2755.195,500,1805.170662,pursuer_1_0.3853829760699319,pursuer_1_1.2919384648545813,pursuer_1_0
-170.46614,500,1805.170705,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
3014.8953,500,1805.170746,pursuer_1_0.35330939401753564,pursuer_1_1.4737424587661905,pursuer_1_0
2448.822,500,1805.170789,pursuer_0_0.43315699873048535,pursuer_0_1.0607260704105808,pursuer_0_0
2074.3008,500,1805.170832,pursuer_1_0.4631566929853574,pursuer_1_1.128339040184441,pursuer_1_0
2968.749,500,1805.170874,pursuer_0_0.3775575886959226,pursuer_0_1.327151137427006,pursuer_0_0
2430.51,500,1805.170917,pursuer_1_0.4215919483711875,pursuer_1_1.0420483427539498,pursuer_1_0
-122.215034,500,1805.170958,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
