#{"t_start": 1724071915.097326, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
-253.04501,500,628.155659,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2137.7302,500,628.155685,pursuer_0_0.4657702055774424,pursuer_0_1.3753878093632865,pursuer_0_0
-246.59036,500,628.155708,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2388.9792,500,628.155731,pursuer_0_0.4391990556828563,pursuer_0_1.0725786098576888,pursuer_0_0
1414.231,500,628.155754,pursuer_1_0.5476840988005331,pursuer_1_1.2861823668541776,pursuer_1_0
2887.603,500,628.155777,pursuer_0_0.38385246585382454,pursuer_0_1.4740807186591023,pursuer_0_0
1961.095,500,628.155801,pursuer_1_0.4788110357116719,pursuer_1_1.2448282896917469,pursuer_1_0
-139.02303,500,628.155824,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2017.5258,500,628.155847,pursuer_1_0.4725623086683382,pursuer_1_1.3667926323276502,pursuer_1_0
2703.8274,500,628.15587,pursuer_0_0.5293994013560999,pursuer_0_1.066297159612374,pursuer_0_0
-243.5659,500,628.155893,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1964.268,500,705.577992,pursuer_0_0.48812511358160554,pursuer_0_1.1577453897787882,pursuer_0_0
2641.0474,500,705.578081,pursuer_1_0.39207047138627305,pursuer_1_1.4392375078821835,pursuer_1_0
-82.03355,500,705.578118,pursuer_0_0.6187693342541501,pursuer_0_0,pursuer_0_0
2413.717,500,705.578148,pursuer_1_0.42481560901115567,pursuer_1_1.4252911099835315,pursuer_1_0
1461.9022,500,705.578177,pursuer_0_0.4555318604916291,pursuer_0_1.3946247120552584,pursuer_0_0
2481.423,500,705.578202,pursuer_1_0.41722588103788616,pursuer_1_1.0290922651714691,pursuer_1_0
2628.6433,500,705.578256,pursuer_0_0.4125443693663303,pursuer_0_1.0258241820510992,pursuer_0_0
2799.9453,500,705.578282,pursuer_1_0.3818340907999138,pursuer_1_1.2525395494572789,pursuer_1_0
-129.72493,500,705.578304,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
44.537426,500,705.578325,pursuer_1_0.7166380495132579,pursuer_1_1.4701697595935825,pursuer_1_0
1710.7667,500,705.578347,pursuer_0_0.5201614864473364,pursuer_0_1.2545374287418698,pursuer_0_0
1576.6007,500,705.578369,pursuer_1_0.5207735887024458,pursuer_1_1.2076193334937924,pursuer_1_0
2990.8335,500,705.578391,pursuer_0_0.4089634726983196,pursuer_0_1.4110934165958795,pursuer_0_0
2445.502,500,705.578412,pursuer_1_0.419308788676512,pursuer_1_1.0389259804649495,pursuer_1_0
2584.1812,500,705.578434,pursuer_0_0.6008787928678352,pursuer_0_1.3933948031665637,pursuer_0_0
-235.40096,500,705.578455,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-29.78881,500,785.317836,pursuer_0_0.5008000026998704,pursuer_0_0,pursuer_0_-0.0077953228521869256
1963.897,500,785.31863,pursuer_1_0.4766539571910666,pursuer_1_1.1391307701707447,pursuer_1_0
-62.479786,500,785.318688,pursuer_0_0.536661502681506,pursuer_0_0,pursuer_0_0
1699.3687,500,785.318722,pursuer_1_0.5114182098686321,pursuer_1_1.4248798606095454,pursuer_1_0
1977.869,500,785.318751,pursuer_0_0.3925559501408528,pursuer_0_1.1943187460292302,pursuer_0_0
2689.2761,500,785.318779,pursuer_1_0.3924512996520813,pursuer_1_1.1971034436250987,pursuer_1_0
-131.62527,500,785.318805,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-245.68282,500,785.318832,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2680.4749,500,785.318858,pursuer_0_0.4097023324905178,pursuer_0_1.1335065983643178,pursuer_0_0
2538.514,500,785.318884,pursuer_1_0.41162689923639856,pursuer_1_1.0431900045555689,pursuer_1_0
1025.4783,500,785.31891,pursuer_0_0.6071189948221929,pursuer_0_1.3285806715328579,pursuer_0_0
886.9689,500,785.318936,pursuer_1_0.6072398661542188,pursuer_1_1.3241637287468542,pursuer_1_0
-162.5279,500,785.318962,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-239.41528,500,785.318988,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2230.334,500,785.319014,pursuer_0_0.7301220181964558,pursuer_0_1.0517998308333276,pursuer_0_0
-249.20848,500,785.319041,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-22.626095,500,848.998323,pursuer_0_0.45304018806826585,pursuer_0_0,pursuer_0_0
2323.875,500,848.999296,pursuer_1_0.43315699873048535,pursuer_1_1.0607260704105808,pursuer_1_0
2414.6658,500,848.999347,pursuer_0_0.7292473496178346,pursuer_0_1.119692331240429,pursuer_0_0
-248.32678,500,848.999377,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2062.9514,500,848.999403,pursuer_0_0.7279968873255255,pursuer_0_1.0928161207702392,pursuer_0_0.008203451287521535
-238.6001,500,848.999428,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-25.48081,500,848.999452,pursuer_0_0.45427923629781614,pursuer_0_0.001554857993671603,pursuer_0_0
2408.2812,500,848.999476,pursuer_1_0.4249513350635802,pursuer_1_1.07082201379603,pursuer_1_0
2405.3628,500,848.9995,pursuer_0_0.6890195666245965,pursuer_0_1.0059255927527944,pursuer_0_0
-229.15198,500,848.999524,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2569.005,500,848.999547,pursuer_0_0.7235975075601356,pursuer_0_1.0699118947049373,pursuer_0_0
-258.99774,500,848.99957,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2396.4043,500,848.999593,pursuer_0_0.6136341703073807,pursuer_0_1.0121407517301204,pursuer_0_-0.0013473700307917724
879.19946,500,848.999618,pursuer_1_0.6093805463979418,pursuer_1_1.3294143130747407,pursuer_1_0
27.683867,500,848.999641,pursuer_0_0.44520811493024304,pursuer_0_0.0033777362209835076,pursuer_0_0
2480.8816,500,848.999664,pursuer_1_0.41835258598816893,pursuer_1_1.1179763225416783,pursuer_1_0
-134.27536,500,931.883026,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0.0
-245.16388,500,931.883384,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
3008.8472,500,931.883468,pursuer_0_0.5240671782682295,pursuer_0_1.3575843352865478,pursuer_0_0
1556.2308,500,931.883505,pursuer_1_0.5290492321210085,pursuer_1_1.219667212813801,pursuer_1_0
1157.7665,500,931.883534,pursuer_0_0.414004755803811,pursuer_0_1.3402336556289265,pursuer_0_0
2463.0876,500,931.883562,pursuer_1_0.4137985055202634,pursuer_1_1.3382011352192622,pursuer_1_0
2440.689,500,931.883588,pursuer_0_0.7041335118525599,pursuer_0_0.9770168602458885,pursuer_0_0
-236.12901,500,931.883615,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-118.764084,500,931.88364,pursuer_0_0.7297627473031701,pursuer_0_0,pursuer_0_0
759.01575,500,931.883666,pursuer_1_0.6279126067647331,pursuer_1_1.354057433003062,pursuer_1_0
1871.573,500,931.883692,pursuer_0_0.7308890457667768,pursuer_0_1.1443884100280233,pursuer_0_0
-249.81895,500,931.883718,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1129.9172,500,931.883744,pursuer_0_0.7342034263090362,pursuer_0_1.2948353759693456,pursuer_0_0
-242.0868,500,931.88377,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-139.18492,500,931.883796,pursuer_0_0.7180816980994065,pursuer_0_0,pursuer_0_0
201.34326,500,931.883821,pursuer_1_0.6985379178804006,pursuer_1_1.441976775213837,pursuer_1_0
2676.255,500,1002.958619,pursuer_0_0.6098311901639343,pursuer_0_1.4317705840499695,pursuer_0_0
-246.74939,500,1002.959703,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-129.98648,500,1002.959755,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2082.8032,500,1002.959785,pursuer_1_0.46343949898593084,pursuer_1_1.1183082812242524,pursuer_1_0
720.40204,500,1002.959813,pursuer_0_0.6640183419609275,pursuer_0_1.3717026492990658,pursuer_0_0
-225.37953,500,1002.959838,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2596.1519,500,1002.959862,pursuer_0_0.449474646756912,pursuer_0_1.0166393139205945,pursuer_0_0
2183.5625,500,1002.959886,pursuer_1_0.4514300192434303,pursuer_1_1.0986152045626785,pursuer_1_0
2481.747,500,1002.95991,pursuer_0_0.533774860342249,pursuer_0_1.009144462958008,pursuer_0_0
1663.4338,500,1002.959934,pursuer_1_0.5127862821977729,pursuer_1_1.4665991860264174,pursuer_1_0
2499.3862,500,1002.959957,pursuer_0_0.6786880570600947,pursuer_0_0.9935932939641596,pursuer_0_0
-266.1094,500,1002.959981,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-132.22752,500,1002.960004,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2530.9492,500,1002.960028,pursuer_1_0.41093799006362197,pursuer_1_1.4783058761775916,pursuer_1_0
-112.2207,500,1002.960052,pursuer_0_0.6334909661398006,pursuer_0_0,pursuer_0_0
1476.1821,500,1002.960075,pursuer_1_0.536880521317537,pursuer_1_1.2308832841365323,pursuer_1_0
2363.31,500,1072.135993,pursuer_0_0.4431290356587078,pursuer_0_1.0880785161828843,pursuer_0_0
899.74097,500,1072.136782,pursuer_1_0.6071214464811444,pursuer_1_1.3252712907238655,pursuer_1_0
-131.07483,500,1072.13684,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-247.92964,500,1072.136873,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
359.266,500,1072.1369,pursuer_0_0.44334275263483874,pursuer_0_1.455049789003411,pursuer_0_0
2405.416,500,1072.136926,pursuer_1_0.4248746288249618,pursuer_1_1.050640691224885,pursuer_1_0
1741.0493,500,1072.136952,pursuer_0_0.5384488797518798,pursuer_0_1.3567324555663554,pursuer_0_0
-246.61453,500,1072.136978,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-148.14883,500,1072.137003,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
1338.5146,500,1072.137028,pursuer_1_0.553163807710322,pursuer_1_1.3469207433993227,pursuer_1_0
1580.7306,500,1072.137053,pursuer_0_0.5415326702878953,pursuer_0_1.2239901317502346,pursuer_0_0
-239.18355,500,1072.137079,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-10.948389,500,1072.137104,pursuer_0_0.6283874926476715,pursuer_0_1.49130733433194,pursuer_0_0
1660.5078,500,1072.137144,pursuer_1_0.5110736894648126,pursuer_1_1.200126841422992,pursuer_1_0
2072.4336,500,1072.137179,pursuer_0_0.4775234171381211,pursuer_0_1.1449705283249334,pursuer_0_0
881.241,500,1072.137234,pursuer_1_0.6109714755892355,pursuer_1_1.3949121728718181,pursuer_1_0
-104.05432,500,1134.50146,pursuer_0_0.6193332964894618,pursuer_0_0,pursuer_0_0
1348.0051,500,1134.501548,pursuer_1_0.5508951788743955,pursuer_1_1.2571237051696371,pursuer_1_0
2828.8562,500,1134.501583,pursuer_0_0.38800996186225406,pursuer_0_1.3134848298269735,pursuer_0_0
1191.1512,500,1134.501614,pursuer_1_0.5697768651558328,pursuer_1_1.2789068167179265,pursuer_1_0
